number,reinhardtii_gene,Gene_name,diff_0,total_0,JC_distance_0,diff_2,total_2,JC_distance_2,diff_4,total_4,JC_distance_4,SFS0,SFS0_theta_pi,SFS4,SFS4_theta_pi,connectivity,max_connectivity,sum_connectivity
235,Cre01_g012600_t1_3|PACid:26903784,Cre01.g012600,72,1246,0.060132358,59,286,0.241248005,131,415,0.409688754,"[1238, 6, 1, 3, 0, 2, 1, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006520398,"[382, 11, 0, 2, 1, 4, 0, 7, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.029113248,"[['595', '2'], ['864', '2']]",2,4
551,Cre06_g307300_t1_3|PACid:26894615,Cre06.g307300,88,809,0.11752108,28,177,0.177668326,93,295,0.40898385,"[830, 7, 1, 3, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005370743,"[262, 9, 3, 3, 9, 2, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.033191054,"[['1888', '6']]",6,6
548,Cre04_g223050_t1_2|PACid:26905562,Cre04.g223050,35,344,0.10934086,17,76,0.26562886,28,89,0.407867656,"[667, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002952345,"[168, 5, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009187675,"[['1625', '4']]",4,4
715,Cre16_g659350_t1_2|PACid:26891370,Cre16.g659350,3,273,0.011070312,5,70,0.075062594,22,70,0.407314864,"[271, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002719336,"[71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[['1658', '7'], ['2192', '2']]",7,9
427,Cre01_g035350_t1_2|PACid:26903802,Cre01.g035350,67,691,0.103827181,19,124,0.1714008,75,239,0.406492214,"[674, 5, 6, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0040814,"[203, 10, 4, 5, 2, 5, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.037819116,"[['1502', '5'], ['1511', '5'], ['1504', '5'], ['1507', '5'], ['1513', '5'], ['1500', '5'], ['1498', '5'], ['1509', '5']]",5,40
210,Cre12_g541850_t1_2|PACid:26907609,Cre12.g541850,12,194,0.064555957,8,52,0.172180831,16,51,0.406351164,"[190, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.007849875,"[50, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008330129,"[['270', '5'], ['883', '5'], ['884', '5']]",5,15
221,Cre02_g081550_t1_2|PACid:26900987,Cre02.g081550,11,364,0.030845469,12,94,0.139939467,26,83,0.405539366,"[362, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000610501,"[70, 3, 0, 2, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.040359477,"[['435', '4'], ['440', '3'], ['436', '4'], ['437', '4'], ['439', '3'], ['438', '3']]",4,21
251,Cre02_g110350_t1_2|PACid:26899841,Cre02.g110350,11,523,0.021333048,19,104,0.209378537,50,160,0.404247376,"[552, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000200924,"[164, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.011989017,"[['960', '5'], ['958', '5'], ['957', '5'], ['959', '5']]",5,20
701,Cre01_g018500_t1_3|PACid:26903036,Cre01.g018500,156,918,0.192699315,47,183,0.314415362,96,308,0.402857199,"[1363, 18, 15, 7, 6, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009889133,"[448, 8, 7, 3, 2, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02037037,"[['623', '4'], ['624', '4']]",4,8
293,Cre09_g415900_t1_2|PACid:26895577,Cre09.g415900,24,634,0.038843632,22,136,0.182209634,57,183,0.402492989,"[638, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000917684,"[179, 1, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.014301778,"[['2113', '4'], ['2114', '4'], ['2130', '4'], ['2111', '4'], ['2154', '4'], ['2112', '4']]",4,24
