node	genename	degree	SFS0	SFS4	SFS0_theta_pi	SFS4_theta_pi	differences_0	total_0	differences_2	total_2	differences_4	total_4	JC_distance_0	JC_distance_2	JC_distance_4
0	Cre12.g533650	2	"[588,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"	"[174,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"	0.0033337719875422204	0.005119825708061001	16	469	18	99	52	140	0.03491539544336361	0.20822380244870964	0.5127513274540512
1	g7554	5	"[3573,25,18,6,1,0,6,10,12,3,0,0,0,0,0,0,0,0,0]"	"[1178,52,26,6,2,1,7,18,19,5,0,0,0,0,0,0,0,0,0]"	0.006675467121714587	0.029735080231991326	189	1674	50	274	203	632	0.1223637305146758	0.20910022673775042	0.4193163756115317
2	Cre16.g658600	3	"[418,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"	"[103,2,2,2,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0]"	0.004810335349092908	0.03347541915316851	9	382	19	121	18	100	0.023938202226228812	0.17619046387892226	0.20582763427632023
3	Cre01.g044650	60	"[1901,4,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0]"	"[516,14,7,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0]"	0.0018825442705397194	0.015938746136240297	132	1751	68	415	133	510	0.07944883576958878	0.1848800450346022	0.320452303556263
4	Cre12.g523250	19	"[792,3,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0]"	"[254,6,11,3,1,2,1,7,3,1,0,0,0,0,0,0,0,0,0]"	0.003373918145811941	0.03860506140172332	284	542	64	91	176	222	0.8996046742523127	2.082193838346559	
5	Cre13.g579650	102	"[2791,32,19,11,15,6,13,11,4,2,0,0,0,0,0,0,0,0,0]"	"[859,66,28,14,14,10,17,11,8,5,0,0,0,0,0,0,0,0,0]"	0.011572948738724142	0.04558696863758423	397	804	122	204	172	271	0.8055307709532031	1.1973380376804668	1.404313029184132
6	Cre17.g704050	1	"[1425,22,10,5,1,4,5,4,1,0,0,0,0,0,0,0,0,0,0]"	"[451,14,13,2,2,4,4,6,2,0,0,0,0,0,0,0,0,0,0]"	0.008775074010646913	0.026590020211565212	144	1131	67	295	130	377	0.13953149768089312	0.27053896582690623	0.46182038770839395
7	Cre01.g043750	1	"[1388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]"	"[371,5,2,10,4,3,3,2,1,2,0,0,0,0,0,0,0,0,0]"	0.00036232395526004983	0.026435719035339526	19	1352	27	361	86	390	0.014186585244401766	0.07878958200235753	0.26112319070311785
8	Cre12.g492200	1	"[3971,8,14,7,7,2,0,1,1,1,0,0,0,0,0,0,0,0,0]"	"[1184,21,32,16,14,5,5,4,2,1,0,0,0,0,0,0,0,0,0]"	0.0027026762848708775	0.020966953759697024	113	1172	36	264	111	381	0.10320204595843926	0.15050302159661333	0.36882069117075034
9	Cre12.g542800	15	"[2358,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"	"[594,16,9,8,9,0,2,8,2,1,0,0,0,0,0,0,0,0,0]"	0.00029620771081268876	0.024421684441624625	411	1825	103	449	156	511	0.2677998074880394	0.2738164853412578	0.3919775885207515
10	Cre02.g076600	1	"[528,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0]"	"[156,5,0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0]"	0.0031696889282028596	0.02277913137641644	25	495	12	100	47	158	0.05228597446152086	0.13076504035858336	0.37891163315641796
11	g17770	23	"[980,4,1,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0]"	"[311,5,1,3,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0]"	0.003692514266532393	0.01992378018679778	34	958	18	214	71	328	0.03635779559293202	0.08921395714602402	0.2554091715066365
12	Cre17.g715750	37	"[594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"	"[152,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"	0.0006151480199923106	0.011274509803921568	4	595	2	134	24	160	0.006753000040465607	0.015075884490815449	0.16735766348565728
13	g1272	1	"[2418,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"	"[597,10,6,0,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0]"	9.182736455463728e-05		0.012130718954248365	10	2418	38	625	74	623	0.004147093784522568	0.06340627640743614	0.12931417829796377
